#: table_doi: 10.17182/hepdata.82212.v1/t5
#: name: Table 5
#: description: <b>Exclusion contour (obs)</b> Expected (solid blue line) and observed (solid red line) exclusion-limit contours at 95% confidence level in the plane of top-squark and tau-slepton mass for the simplified model, obtained from the statistical combination of the lep-had and had-had channels, using full experimental and theory systematic uncertainties except the theoretical uncertainty in the signal cross section.  The yellow band shows one-standard-deviation variations around the expected limit contour. The dotted red lines indicate how the observed limit moves when varying the signal cross section up or down by the corresponding uncertainty in the theoretical value.  For comparison, the plot also shows the observed exclusion contour from the ATLAS Run-1 analysis as the area shaded in gray and the limit on the mass of the tau slepton (for a massless LSP) from the LEP experiments as a green band.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: 
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
#'$m(\tilde{t}_{1})$ [GeV]','$m(\tilde{\tau}_{1})$ [GeV]'
778.0,40.8
770.8,40.6
763.6,40.5
756.4,40.3
749.2,40.2
742.0,40.1
734.8,40.0
727.6,39.9
720.4,39.9
713.2,39.8
706.0,39.8
698.8,39.7
691.6,39.7
684.4,39.6
677.2,39.6
670.0,39.5
662.8,39.5
655.6,39.4
648.4,39.4
641.2,39.3
634.0,39.3
626.8,39.2
619.6,39.2
612.4,39.1
605.2,39.1
598.0,39.0
590.8,39.0
583.6,39.0
576.4,38.9
569.2,38.9
562.0,38.8
554.8,38.8
547.6,38.7
540.4,38.7
533.2,38.7
526.0,38.7
518.8,38.6
511.6,38.6
504.4,38.6
498.7,46.8
498.7,57.2
498.7,67.6
498.7,78.0
498.7,88.4
498.7,98.8
498.8,109.2
498.8,119.6
498.8,130.0
498.8,140.4
498.8,150.8
498.8,161.2
498.8,171.6
498.8,182.0
498.9,192.4
498.9,202.8
498.9,213.2
498.9,223.6
498.9,234.0
498.9,244.4
499.0,254.8
499.0,265.2
499.0,275.6
499.0,286.0
499.0,296.4
499.0,306.8
499.1,317.2
499.1,327.6
499.1,338.0
499.1,348.4
499.1,358.8
499.1,369.2
499.2,379.6
499.2,390.0
499.2,400.4
499.2,410.8
499.2,421.2
499.3,431.6
499.3,442.0
499.3,452.4
499.3,462.8
499.4,473.2
499.4,483.6
499.4,494.0
504.4,501.2
511.6,501.3
513.9,504.4
518.8,511.5
521.2,514.8
526.0,521.7
533.2,521.9
535.7,525.2
540.4,532.0
543.1,535.6
547.6,542.1
554.8,542.4
557.4,546.0
562.0,552.6
564.8,556.4
569.2,562.8
576.4,563.2
579.1,566.8
583.6,573.3
586.5,577.2
590.8,583.4
593.9,587.6
598.0,593.5
605.2,594.0
608.2,598.0
612.4,604.0
615.8,608.4
619.6,613.9
626.8,614.5
630.1,618.8
634.0,624.4
637.8,629.2
641.2,634.1
648.4,634.9
652.0,639.6
655.6,644.7
659.7,650.0
662.8,654.5
670.0,655.6
673.7,660.4
677.2,665.4
681.5,670.8
684.4,675.1
689.4,681.2
691.6,684.4
698.8,686.0
703.1,691.6
706.0,695.7
711.3,702.0
713.2,704.7
720.4,706.7
725.1,712.4
727.6,716.0
733.4,722.8
734.8,724.8
742.0,727.1
747.1,733.2
749.2,736.2
755.8,743.6
756.4,744.4
763.6,747.0
769.4,754.0
770.8,756.0
778.0,764.1
778.3,764.4
785.2,770.5
790.0,774.8
792.4,776.1
799.6,783.4
801.9,785.2
806.8,789.5
813.9,795.6
814.0,795.7
821.2,802.2
825.3,806.0
828.4,808.8
835.6,815.3
836.8,816.4
842.8,821.9
848.2,826.8
850.0,828.4
857.2,829.8
863.1,837.2
864.4,838.7
871.6,847.0
872.1,847.6
878.8,853.8
883.4,858.0
886.0,860.4
893.2,867.1
894.7,868.4
900.4,873.7
907.1,878.8
907.6,879.2
914.8,884.8
920.6,889.2
922.0,890.5
929.2,896.8
932.3,899.6
936.4,903.3
943.6,909.7
943.9,910.0
950.8,915.5
958.0,915.4
965.2,915.4
972.4,916.3
979.4,920.4
979.6,920.6
986.8,928.2
989.3,930.8
994.0,935.8
1000.6,941.2
1001.2,941.7
1002.6,941.2
1008.4,939.3
1015.6,936.8
1022.8,934.4
1030.0,938.9
1030.4,941.2
1032.4,951.6
1034.3,962.0
1036.3,972.4
1037.2,977.4
1038.2,982.8
1043.8,993.2
1044.4,993.6
1051.6,997.8
1058.8,997.9
1066.0,997.9
1073.2,998.0
1080.4,998.1
1087.6,998.4
1094.8,1001.1
1100.1,1003.6
1102.0,1004.6
1105.9,1003.6
1109.2,1002.7
1116.4,1000.8
1123.6,998.9
1130.8,997.0
1138.0,995.1
1145.1,993.2
1145.2,993.1
1145.6,993.2
1152.4,995.6
1154.5,993.2

