# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections8TeVsquarkantisquark
# Interactions - squarks 	Nominal (pb) ± Uncertainty
200 GeV 	183.39 ± 16.2039%
435 GeV 	2.08373 ± 15.5849%
440 GeV 	1.93506 ± 15.7899%
445 GeV 	1.80099 ± 15.7033%
450 GeV 	1.67947 ± 15.6075%
455 GeV 	1.5592 ± 15.7226%
460 GeV 	1.45828 ± 15.7359%
465 GeV 	1.35811 ± 15.8671%
470 GeV 	1.26736 ± 15.9311%
475 GeV 	1.18724 ± 15.965%
480 GeV 	1.10691 ± 16.1122%
485 GeV 	1.0373 ± 16.1103%
490 GeV 	0.966438 ± 16.2138%
495 GeV 	0.905378 ± 16.3326%
500 GeV 	0.847051 ± 16.3916%
505 GeV 	0.79269 ± 16.4567%
510 GeV 	0.742713 ± 16.5664%
515 GeV 	0.696372 ± 16.6293%
520 GeV 	0.652256 ± 16.6616%
525 GeV 	0.612173 ± 16.7806%
530 GeV 	0.573845 ± 16.8512%
535 GeV 	0.538581 ± 16.9228%
540 GeV 	0.506557 ± 17.0247%
545 GeV 	0.475284 ± 17.0994%
550 GeV 	0.447055 ± 17.156%
555 GeV 	0.420097 ± 17.227%
560 GeV 	0.394852 ± 17.3287%
565 GeV 	0.371658 ± 17.3913%
570 GeV 	0.349577 ± 17.4948%
575 GeV 	0.329425 ± 17.5742%
580 GeV 	0.310358 ± 17.6718%
585 GeV 	0.292268 ± 17.7156%
590 GeV 	0.275027 ± 17.8048%
595 GeV 	0.260023 ± 17.9041%
600 GeV 	0.244862 ± 17.9829%
605 GeV 	0.230716 ± 18.0599%
610 GeV 	0.217676 ± 18.1688%
615 GeV 	0.205519 ± 18.2594%
620 GeV 	0.194542 ± 18.303%
625 GeV 	0.183393 ± 18.3914%
630 GeV 	0.173285 ± 18.4896%
635 GeV 	0.163215 ± 18.6107%
640 GeV 	0.154094 ± 18.6969%
645 GeV 	0.146017 ± 18.7511%
650 GeV 	0.137949 ± 18.8802%
655 GeV 	0.130905 ± 18.9162%
660 GeV 	0.123878 ± 19.0392%
665 GeV 	0.116779 ± 19.1186%
670 GeV 	0.110699 ± 19.1932%
675 GeV 	0.104629 ± 19.3371%
680 GeV 	0.0991614 ± 19.3985%
685 GeV 	0.0939567 ± 19.4636%
690 GeV 	0.0890621 ± 19.5595%
695 GeV 	0.0843359 ± 19.6832%
700 GeV 	0.0799667 ± 19.7578%
705 GeV 	0.0757982 ± 19.8358%
710 GeV 	0.0718517 ± 19.9649%
715 GeV 	0.0681991 ± 20.0473%
720 GeV 	0.0646876 ± 20.1237%
725 GeV 	0.0613271 ± 20.2102%
730 GeV 	0.0583038 ± 20.3259%
735 GeV 	0.0552479 ± 20.4105%
740 GeV 	0.0524903 ± 20.5031%
745 GeV 	0.0498689 ± 20.6244%
750 GeV 	0.0473374 ± 20.6674%
755 GeV 	0.0449834 ± 20.8506%
760 GeV 	0.0426962 ± 21.0513%
765 GeV 	0.0405928 ± 21.1424%
770 GeV 	0.0385148 ± 21.3519%
775 GeV 	0.0366102 ± 21.4219%
780 GeV 	0.0347815 ± 21.5023%
785 GeV 	0.0330348 ± 21.7231%
790 GeV 	0.0314154 ± 21.7671%
795 GeV 	0.0298622 ± 21.9787%
800 GeV 	0.0284146 ± 22.2285%
805 GeV 	0.0270184 ± 22.2701%
810 GeV 	0.0256633 ± 22.5288%
815 GeV 	0.0244272 ± 22.7756%
820 GeV 	0.0232221 ± 22.781%
825 GeV 	0.0221286 ± 22.8093%
830 GeV 	0.0210903 ± 23.0162%
835 GeV 	0.0200492 ± 23.3299%
840 GeV 	0.0190532 ± 23.3027%
845 GeV 	0.0181182 ± 23.6311%
850 GeV 	0.0172924 ± 23.8698%
855 GeV 	0.0164983 ± 23.8156%
860 GeV 	0.0156705 ± 24.125%
865 GeV 	0.0149409 ± 24.4486%
870 GeV 	0.0142552 ± 24.3179%
875 GeV 	0.0135221 ± 24.7131%
880 GeV 	0.0129412 ± 24.5274%
885 GeV 	0.0123129 ± 24.8492%
890 GeV 	0.0117356 ± 24.7361%
895 GeV 	0.0111839 ± 25.2594%
900 GeV 	0.0106744 ± 25.4549%
905 GeV 	0.0101709 ± 25.6048%
910 GeV 	0.00971303 ± 25.8117%
915 GeV 	0.00926711 ± 25.9836%
920 GeV 	0.00884228 ± 26.302%
925 GeV 	0.00843468 ± 26.4167%
930 GeV 	0.00804891 ± 26.5975%
935 GeV 	0.00768892 ± 26.8766%
940 GeV 	0.00733704 ± 27.0893%
945 GeV 	0.00700553 ± 27.2165%
950 GeV 	0.00668877 ± 27.4695%
955 GeV 	0.0063914 ± 27.6247%
960 GeV 	0.00610522 ± 27.8582%
965 GeV 	0.0058319 ± 28.0632%
970 GeV 	0.00556396 ± 28.2628%
975 GeV 	0.00532131 ± 28.4392%
980 GeV 	0.00508763 ± 28.6634%
985 GeV 	0.00486108 ± 28.9497%
990 GeV 	0.00463939 ± 29.03%
995 GeV 	0.00443396 ± 29.331%
1000 GeV 	0.00424173 ± 29.5205%
1005 GeV 	0.00405545 ± 29.8436%
1010 GeV 	0.00387942 ± 29.8628%
1015 GeV 	0.00370617 ± 30.0143%
1020 GeV 	0.00354188 ± 30.2933%
1025 GeV 	0.00339179 ± 30.4488%
1030 GeV 	0.00323759 ± 30.7504%
1035 GeV 	0.00310405 ± 31.0307%
1040 GeV 	0.00296481 ± 31.1646%
1045 GeV 	0.00284157 ± 31.434%
1050 GeV 	0.00271284 ± 31.5522%
1055 GeV 	0.00259874 ± 31.7999%
1060 GeV 	0.00248574 ± 32.0947%
1065 GeV 	0.00237832 ± 32.1288%
1070 GeV 	0.00227552 ± 32.4236%
1075 GeV 	0.00217795 ± 32.4253%
1080 GeV 	0.00208653 ± 32.6845%
1085 GeV 	0.00199515 ± 32.905%
1090 GeV 	0.00191376 ± 33.1506%
1095 GeV 	0.00183322 ± 33.3478%
1100 GeV 	0.0017516 ± 33.6196%
1105 GeV 	0.00168121 ± 33.8129%
1110 GeV 	0.00161078 ± 34.0018%
1115 GeV 	0.00153979 ± 34.2412%
1120 GeV 	0.00146931 ± 34.4636%
1125 GeV 	0.00140906 ± 34.6449%
1130 GeV 	0.00134897 ± 34.7873%
1135 GeV 	0.00128887 ± 34.9997%
1140 GeV 	0.00123718 ± 35.3174%
1145 GeV 	0.00118576 ± 35.6404%
1150 GeV 	0.00113551 ± 35.8365%
1155 GeV 	0.00108577 ± 35.9708%
1160 GeV 	0.0010435 ± 36.4301%
1165 GeV 	0.000997216 ± 36.5282%
1170 GeV 	0.00095473 ± 36.7698%
1175 GeV 	0.000915357 ± 36.9964%
1180 GeV 	0.000877568 ± 37.231%
1185 GeV 	0.000840728 ± 37.3963%
1190 GeV 	0.000805245 ± 37.6435%
1195 GeV 	0.000771779 ± 37.9148%
1200 GeV 	0.000739516 ± 38.1334%
1205 GeV 	0.000708408 ± 38.3499%
1210 GeV 	0.000679114 ± 38.5765%
1215 GeV 	0.000650676 ± 38.8425%
1220 GeV 	0.000624318 ± 38.9873%
1225 GeV 	0.000598723 ± 39.2895%
1230 GeV 	0.000573562 ± 39.5262%
1235 GeV 	0.000549562 ± 39.7002%
1240 GeV 	0.000527493 ± 40.0086%
1245 GeV 	0.000505629 ± 40.1438%
1250 GeV 	0.000484981 ± 40.4963%
1255 GeV 	0.000465203 ± 40.6305%
1260 GeV 	0.000445898 ± 40.9934%
1265 GeV 	0.000427871 ± 41.203%
1270 GeV 	0.000409862 ± 41.3892%
1275 GeV 	0.000393573 ± 41.6931%
1280 GeV 	0.000377833 ± 41.8675%
1285 GeV 	0.000361982 ± 42.015%
1290 GeV 	0.000347401 ± 42.4236%
1295 GeV 	0.000332768 ± 42.5716%
1300 GeV 	0.000319675 ± 42.7858%
1305 GeV 	0.000306545 ± 43.0279%
1310 GeV 	0.000294796 ± 43.1978%
1315 GeV 	0.000282339 ± 43.6073%
1320 GeV 	0.000271498 ± 43.7244%
1325 GeV 	0.000260256 ± 44.1337%
1330 GeV 	0.000249327 ± 44.3156%
1335 GeV 	0.000239632 ± 44.4001%
1340 GeV 	0.000230503 ± 44.6817%
1345 GeV 	0.000221393 ± 44.9331%
1350 GeV 	0.000212278 ± 45.2874%
1355 GeV 	0.000203511 ± 45.3297%
1360 GeV 	0.000195547 ± 45.5738%
1365 GeV 	0.000187475 ± 45.8277%
1370 GeV 	0.000180201 ± 46.3195%
1375 GeV 	0.000173209 ± 46.5212%
1380 GeV 	0.000166263 ± 46.7504%
1385 GeV 	0.000159301 ± 46.9367%
1390 GeV 	0.000153047 ± 47.4366%
1395 GeV 	0.000147229 ± 47.4827%
1400 GeV 	0.00014128 ± 47.7033%
1405 GeV 	0.000135374 ± 47.8904%
1410 GeV 	0.0001303 ± 48.1692%
1415 GeV 	0.000125197 ± 48.5588%
1420 GeV 	0.000120283 ± 48.7477%
1425 GeV 	0.000115294 ± 48.927%
1430 GeV 	0.000110389 ± 49.0882%
1435 GeV 	0.000106313 ± 49.4528%
1440 GeV 	0.000102247 ± 49.7384%
1445 GeV 	9.79463e-05 ± 49.8845%
1450 GeV 	9.40611e-05 ± 50.1372%
1455 GeV 	9.03759e-05 ± 50.3841%
1460 GeV 	8.67422e-05 ± 50.6382%
1465 GeV 	8.3244e-05 ± 50.9002%
1470 GeV 	7.9999e-05 ± 51.0768%
1475 GeV 	7.6866e-05 ± 51.3966%
1480 GeV 	7.37769e-05 ± 51.6587%
1485 GeV 	7.08472e-05 ± 51.8846%
1490 GeV 	6.80513e-05 ± 52.1552%
1495 GeV 	6.53704e-05 ± 52.3657%
1500 GeV 	6.27944e-05 ± 52.5847%
1505 GeV 	6.02854e-05 ± 52.8804%
1510 GeV 	5.80129e-05 ± 53.0537%
1515 GeV 	5.57239e-05 ± 53.2859%
1520 GeV 	5.34983e-05 ± 53.5996%
1525 GeV 	5.13787e-05 ± 53.8278%
1530 GeV 	4.93807e-05 ± 54.0627%
1535 GeV 	4.7458e-05 ± 54.3979%
1540 GeV 	4.55771e-05 ± 54.5762%
1545 GeV 	4.38047e-05 ± 54.734%
1550 GeV 	4.2098e-05 ± 54.9851%
1555 GeV 	4.04683e-05 ± 55.3523%
1560 GeV 	3.88807e-05 ± 55.5281%
1565 GeV 	3.73635e-05 ± 55.8488%
1570 GeV 	3.58794e-05 ± 56.0275%
1575 GeV 	3.4477e-05 ± 56.2583%
1580 GeV 	3.31554e-05 ± 56.695%
1585 GeV 	3.1856e-05 ± 56.9093%
1590 GeV 	3.05976e-05 ± 56.9369%
1595 GeV 	2.93724e-05 ± 57.273%
1600 GeV 	2.82622e-05 ± 57.5567%
1605 GeV 	2.71492e-05 ± 57.8551%
1610 GeV 	2.60769e-05 ± 57.8927%
1615 GeV 	2.5048e-05 ± 58.3883%
1620 GeV 	2.40439e-05 ± 58.6135%
1625 GeV 	2.31585e-05 ± 58.7258%
1630 GeV 	2.22322e-05 ± 59.1014%
1635 GeV 	2.13403e-05 ± 59.2508%
1640 GeV 	2.05391e-05 ± 59.5617%
1645 GeV 	1.97253e-05 ± 59.8522%
1650 GeV 	1.89239e-05 ± 60.0601%
1655 GeV 	1.82139e-05 ± 60.4195%
1660 GeV 	1.7427e-05 ± 60.492%
1665 GeV 	1.68072e-05 ± 60.8741%
1670 GeV 	1.61129e-05 ± 61.0663%
1675 GeV 	1.54998e-05 ± 61.3822%
1680 GeV 	1.48957e-05 ± 61.6148%
1685 GeV 	1.4299e-05 ± 61.8158%
1690 GeV 	1.36997e-05 ± 61.9744%
1695 GeV 	1.31928e-05 ± 62.3079%
1700 GeV 	1.26835e-05 ± 62.5799%
1705 GeV 	1.21776e-05 ± 62.8217%
1710 GeV 	1.16809e-05 ± 63.0019%
1715 GeV 	1.12659e-05 ± 63.3682%
1720 GeV 	1.08588e-05 ± 63.7139%
1725 GeV 	1.0447e-05 ± 64.0362%
1730 GeV 	1.00129e-05 ± 64.1805%
1735 GeV 	9.62507e-06 ± 64.431%
1740 GeV 	9.25354e-06 ± 64.6831%
1745 GeV 	8.89497e-06 ± 64.9643%
1750 GeV 	8.55379e-06 ± 65.1984%
1755 GeV 	8.21588e-06 ± 65.4621%
1760 GeV 	7.90391e-06 ± 65.721%
1765 GeV 	7.5969e-06 ± 65.9674%
1770 GeV 	7.30173e-06 ± 66.2857%
1775 GeV 	7.02374e-06 ± 66.4446%
1780 GeV 	6.75197e-06 ± 66.8143%
1785 GeV 	6.49139e-06 ± 67.0235%
1790 GeV 	6.23821e-06 ± 67.2938%
1795 GeV 	6.00305e-06 ± 67.5076%
1800 GeV 	5.76928e-06 ± 67.7924%
1805 GeV 	5.54716e-06 ± 68.027%
1810 GeV 	5.33342e-06 ± 68.291%
1815 GeV 	5.11994e-06 ± 68.4659%
1820 GeV 	4.92557e-06 ± 68.7741%
1825 GeV 	4.73383e-06 ± 68.9606%
1830 GeV 	4.55131e-06 ± 69.1975%
1835 GeV 	4.37597e-06 ± 69.5395%
1840 GeV 	4.20179e-06 ± 69.7221%
1845 GeV 	4.038e-06 ± 70.007%
1850 GeV 	3.88717e-06 ± 70.1691%
1855 GeV 	3.73455e-06 ± 70.3781%
1860 GeV 	3.59055e-06 ± 70.6721%
1865 GeV 	3.44554e-06 ± 70.9931%
1870 GeV 	3.31387e-06 ± 71.1776%
1875 GeV 	3.18123e-06 ± 71.4023%
1880 GeV 	3.06043e-06 ± 71.5067%
1885 GeV 	2.93549e-06 ± 71.8499%
1890 GeV 	2.82367e-06 ± 72.0324%
1895 GeV 	2.71044e-06 ± 72.2664%
1900 GeV 	2.60761e-06 ± 72.5045%
1905 GeV 	2.50492e-06 ± 72.7285%
1910 GeV 	2.41114e-06 ± 73.0225%
1915 GeV 	2.3098e-06 ± 73.1277%
1920 GeV 	2.22636e-06 ± 73.4397%
1925 GeV 	2.13367e-06 ± 73.6332%
1930 GeV 	2.05209e-06 ± 73.8618%
1935 GeV 	1.96947e-06 ± 74.0596%
1940 GeV 	1.8962e-06 ± 74.3617%
1945 GeV 	1.82351e-06 ± 74.6116%
1950 GeV 	1.75101e-06 ± 74.8117%
1955 GeV 	1.67891e-06 ± 74.974%
1960 GeV 	1.6169e-06 ± 75.26%
1965 GeV 	1.55411e-06 ± 75.5088%
1970 GeV 	1.49201e-06 ± 75.6846%
1975 GeV 	1.42976e-06 ± 75.8735%
1980 GeV 	1.37778e-06 ± 76.1476%
1985 GeV 	1.31596e-06 ± 76.2424%
1990 GeV 	1.2639e-06 ± 76.4338%
1995 GeV 	1.22175e-06 ± 76.772%
2000 GeV 	1.16964e-06 ± 76.9407%
