# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Mass of stops / sbottoms	Cross section (pb) ± Uncertainty (NNLOapprox + NNLL)
100. GeV	0.177E+04 ± 6.77 %
1875. GeV	0.296E-04 ± 22.18 %
1880. GeV	0.288E-04 ± 22.26 %
1885. GeV	0.280E-04 ± 22.34 %
1890. GeV	0.272E-04 ± 22.43 %
1895. GeV	0.265E-04 ± 22.52 %
1900. GeV	0.258E-04 ± 22.6 %
1905. GeV	0.250E-04 ± 22.69 %
1910. GeV	0.244E-04 ± 22.77 %
1915. GeV	0.237E-04 ± 22.86 %
1920. GeV	0.230E-04 ± 22.95 %
1925. GeV	0.224E-04 ± 23.03 %
1930. GeV	0.218E-04 ± 23.12 %
1935. GeV	0.212E-04 ± 23.21 %
1940. GeV	0.206E-04 ± 23.3 %
1945. GeV	0.201E-04 ± 23.38 %
1950. GeV	0.195E-04 ± 23.47 %
1955. GeV	0.190E-04 ± 23.56 %
1960. GeV	0.185E-04 ± 23.65 %
1965. GeV	0.180E-04 ± 23.74 %
1970. GeV	0.175E-04 ± 23.83 %
1975. GeV	0.170E-04 ± 23.92 %
1980. GeV	0.165E-04 ± 24.01 %
1985. GeV	0.161E-04 ± 24.1 %
1990. GeV	0.157E-04 ± 24.2 %
1995. GeV	0.152E-04 ± 24.29 %
2000. GeV	0.148E-04 ± 24.38 %
2005. GeV	0.144E-04 ± 24.47 %
2010. GeV	0.140E-04 ± 24.56 %
2015. GeV	0.137E-04 ± 24.66 %
2020. GeV	0.133E-04 ± 24.75 %
2025. GeV	0.129E-04 ± 24.84 %
2030. GeV	0.126E-04 ± 24.94 %
2035. GeV	0.122E-04 ± 25.03 %
2040. GeV	0.119E-04 ± 25.13 %
2045. GeV	0.116E-04 ± 25.22 %
2050. GeV	0.113E-04 ± 25.32 %
2055. GeV	0.110E-04 ± 25.42 %
2060. GeV	0.107E-04 ± 25.51 %
2065. GeV	0.104E-04 ± 25.61 %
2070. GeV	0.101E-04 ± 25.71 %
2075. GeV	0.984E-05 ± 25.8 %
2080. GeV	0.957E-05 ± 25.9 %
2085. GeV	0.931E-05 ± 26.0 %
2090. GeV	0.906E-05 ± 26.1 %
2095. GeV	0.882E-05 ± 26.2 %
2100. GeV	0.858E-05 ± 26.3 %
2105. GeV	0.835E-05 ± 26.4 %
2110. GeV	0.813E-05 ± 26.5 %
2115. GeV	0.791E-05 ± 26.6 %
2120. GeV	0.770E-05 ± 26.7 %
2125. GeV	0.749E-05 ± 26.8 %
2130. GeV	0.729E-05 ± 26.9 %
2135. GeV	0.710E-05 ± 27.01 %
2140. GeV	0.691E-05 ± 27.11 %
2145. GeV	0.672E-05 ± 27.21 %
2150. GeV	0.655E-05 ± 27.32 %
2155. GeV	0.637E-05 ± 27.42 %
2160. GeV	0.620E-05 ± 27.52 %
2165. GeV	0.604E-05 ± 27.63 %
2170. GeV	0.587E-05 ± 27.73 %
2175. GeV	0.572E-05 ± 27.84 %
2180. GeV	0.557E-05 ± 27.95 %
2185. GeV	0.542E-05 ± 28.05 %
2190. GeV	0.527E-05 ± 28.16 %
2195. GeV	0.513E-05 ± 28.27 %
2200. GeV	0.500E-05 ± 28.38 %
2205. GeV	0.486E-05 ± 28.48 %
2210. GeV	0.473E-05 ± 28.59 %
2215. GeV	0.461E-05 ± 28.7 %
2220. GeV	0.449E-05 ± 28.81 %
2225. GeV	0.437E-05 ± 28.92 %
2230. GeV	0.425E-05 ± 29.03 %
2235. GeV	0.414E-05 ± 29.14 %
2240. GeV	0.403E-05 ± 29.25 %
2245. GeV	0.392E-05 ± 29.36 %
2250. GeV	0.382E-05 ± 29.47 %
2255. GeV	0.372E-05 ± 29.58 %
2260. GeV	0.362E-05 ± 29.7 %
2265. GeV	0.352E-05 ± 29.81 %
2270. GeV	0.343E-05 ± 29.92 %
2275. GeV	0.334E-05 ± 30.04 %
2280. GeV	0.325E-05 ± 30.15 %
2285. GeV	0.316E-05 ± 30.27 %
2290. GeV	0.308E-05 ± 30.38 %
2295. GeV	0.300E-05 ± 30.5 %
2300. GeV	0.292E-05 ± 30.62 %
2305. GeV	0.284E-05 ± 30.74 %
2310. GeV	0.277E-05 ± 30.85 %
2315. GeV	0.269E-05 ± 30.97 %
2320. GeV	0.262E-05 ± 31.09 %
2325. GeV	0.255E-05 ± 31.21 %
2330. GeV	0.249E-05 ± 31.33 %
2335. GeV	0.242E-05 ± 31.46 %
2340. GeV	0.236E-05 ± 31.58 %
2345. GeV	0.229E-05 ± 31.7 %
2350. GeV	0.223E-05 ± 31.82 %
2355. GeV	0.217E-05 ± 31.95 %
2360. GeV	0.212E-05 ± 32.07 %
2365. GeV	0.206E-05 ± 32.2 %
2370. GeV	0.201E-05 ± 32.32 %
2375. GeV	0.195E-05 ± 32.45 %
2380. GeV	0.190E-05 ± 32.58 %
2385. GeV	0.185E-05 ± 32.7 %
2390. GeV	0.180E-05 ± 32.83 %
2395. GeV	0.176E-05 ± 32.96 %
2400. GeV	0.171E-05 ± 33.09 %
2405. GeV	0.166E-05 ± 33.22 %
2410. GeV	0.162E-05 ± 33.35 %
2415. GeV	0.158E-05 ± 33.48 %
2420. GeV	0.154E-05 ± 33.61 %
2425. GeV	0.150E-05 ± 33.75 %
2430. GeV	0.146E-05 ± 33.88 %
2435. GeV	0.142E-05 ± 34.01 %
2440. GeV	0.138E-05 ± 34.15 %
2445. GeV	0.135E-05 ± 34.28 %
2450. GeV	0.131E-05 ± 34.42 %
2455. GeV	0.128E-05 ± 34.55 %
2460. GeV	0.124E-05 ± 34.69 %
2465. GeV	0.121E-05 ± 34.83 %
2470. GeV	0.118E-05 ± 34.97 %
2475. GeV	0.115E-05 ± 35.11 %
2480. GeV	0.112E-05 ± 35.25 %
2485. GeV	0.109E-05 ± 35.39 %
2490. GeV	0.106E-05 ± 35.53 %
2495. GeV	0.103E-05 ± 35.67 %
2500. GeV	0.100E-05 ± 35.82 %
2505. GeV	0.977E-06 ± 35.96 %
2510. GeV	0.952E-06 ± 36.1 %
2515. GeV	0.927E-06 ± 36.25 %
2520. GeV	0.902E-06 ± 36.4 %
2525. GeV	0.879E-06 ± 36.54 %
2530. GeV	0.856E-06 ± 36.69 %
2535. GeV	0.833E-06 ± 36.84 %
2540. GeV	0.811E-06 ± 36.99 %
2545. GeV	0.790E-06 ± 37.14 %
2550. GeV	0.769E-06 ± 37.29 %
2555. GeV	0.749E-06 ± 37.45 %
2560. GeV	0.730E-06 ± 37.6 %
2565. GeV	0.710E-06 ± 37.76 %
2570. GeV	0.692E-06 ± 37.91 %
2575. GeV	0.674E-06 ± 38.07 %
2580. GeV	0.656E-06 ± 38.23 %
2585. GeV	0.639E-06 ± 38.39 %
2590. GeV	0.622E-06 ± 38.55 %
2595. GeV	0.606E-06 ± 38.71 %
2600. GeV	0.590E-06 ± 38.87 %
2605. GeV	0.574E-06 ± 39.04 %
2610. GeV	0.559E-06 ± 39.2 %
2615. GeV	0.545E-06 ± 39.37 %
2620. GeV	0.530E-06 ± 39.54 %
2625. GeV	0.516E-06 ± 39.71 %
2630. GeV	0.503E-06 ± 39.88 %
2635. GeV	0.490E-06 ± 40.05 %
2640. GeV	0.477E-06 ± 40.23 %
2645. GeV	0.464E-06 ± 40.4 %
2650. GeV	0.452E-06 ± 40.58 %
2655. GeV	0.440E-06 ± 40.75 %
2660. GeV	0.429E-06 ± 40.93 %
2665. GeV	0.418E-06 ± 41.11 %
2670. GeV	0.407E-06 ± 41.29 %
2675. GeV	0.396E-06 ± 41.47 %
2680. GeV	0.386E-06 ± 41.65 %
2685. GeV	0.375E-06 ± 41.83 %
2690. GeV	0.366E-06 ± 42.01 %
2695. GeV	0.356E-06 ± 42.2 %
2700. GeV	0.347E-06 ± 42.38 %
2705. GeV	0.338E-06 ± 42.57 %
2710. GeV	0.329E-06 ± 42.76 %
2715. GeV	0.320E-06 ± 42.95 %
2720. GeV	0.312E-06 ± 43.14 %
2725. GeV	0.304E-06 ± 43.33 %
2730. GeV	0.296E-06 ± 43.53 %
2735. GeV	0.288E-06 ± 43.72 %
2740. GeV	0.280E-06 ± 43.91 %
2745. GeV	0.273E-06 ± 44.11 %
2750. GeV	0.266E-06 ± 44.3 %
2755. GeV	0.259E-06 ± 44.5 %
2760. GeV	0.252E-06 ± 44.69 %
2765. GeV	0.246E-06 ± 44.89 %
2770. GeV	0.239E-06 ± 45.09 %
2775. GeV	0.233E-06 ± 45.28 %
2780. GeV	0.227E-06 ± 45.48 %
2785. GeV	0.221E-06 ± 45.68 %
2790. GeV	0.215E-06 ± 45.88 %
2795. GeV	0.209E-06 ± 46.08 %
2800. GeV	0.204E-06 ± 46.27 %
2805. GeV	0.199E-06 ± 46.46 %
2810. GeV	0.193E-06 ± 46.65 %
2815. GeV	0.188E-06 ± 46.85 %
2820. GeV	0.183E-06 ± 47.04 %
2825. GeV	0.179E-06 ± 47.23 %
2830. GeV	0.174E-06 ± 47.42 %
2835. GeV	0.169E-06 ± 47.61 %
2840. GeV	0.165E-06 ± 47.8 %
2845. GeV	0.161E-06 ± 48.0 %
2850. GeV	0.157E-06 ± 48.19 %
2855. GeV	0.152E-06 ± 48.39 %
2860. GeV	0.148E-06 ± 48.58 %
2865. GeV	0.145E-06 ± 48.78 %
2870. GeV	0.141E-06 ± 48.98 %
2875. GeV	0.137E-06 ± 49.18 %
2880. GeV	0.134E-06 ± 49.38 %
2885. GeV	0.130E-06 ± 49.58 %
2890. GeV	0.127E-06 ± 49.78 %
2895. GeV	0.123E-06 ± 49.98 %
2900. GeV	0.120E-06 ± 50.19 %
2905. GeV	0.117E-06 ± 50.4 %
2910. GeV	0.114E-06 ± 50.6 %
2915. GeV	0.111E-06 ± 50.81 %
2920. GeV	0.108E-06 ± 51.02 %
2925. GeV	0.105E-06 ± 51.24 %
2930. GeV	0.103E-06 ± 51.45 %
2935. GeV	0.999E-07 ± 51.67 %
2940. GeV	0.972E-07 ± 51.89 %
2945. GeV	0.947E-07 ± 52.11 %
2950. GeV	0.922E-07 ± 52.33 %
2955. GeV	0.898E-07 ± 52.56 %
2960. GeV	0.875E-07 ± 52.79 %
2965. GeV	0.852E-07 ± 53.02 %
2970. GeV	0.830E-07 ± 53.25 %
2975. GeV	0.808E-07 ± 53.48 %
2980. GeV	0.787E-07 ± 53.72 %
2985. GeV	0.766E-07 ± 53.96 %
2990. GeV	0.746E-07 ± 54.2 %
2995. GeV	0.727E-07 ± 54.45 %
3000. GeV	0.708E-07 ± 54.7 %
