#: table_doi: 10.17182/hepdata.77891.v5/t63
#: name: Exclusion contour(exp.) 8  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the squark mass and the mass gap ratio x in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino or second lightest neutralino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$, or $\tilde{q} \rightarrow q \tilde{\chi}_{2}^{0} \rightarrow qq Z/h \tilde{\chi}_{1}^{0}$.
#: data_file: data63.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],X
1425.0,0.6636
1424.0,0.6591
1422.0,0.6546
1421.0,0.6501
1419.0,0.6456
1418.0,0.6424
1417.0,0.6411
1415.0,0.6366
1412.0,0.6321
1409.0,0.6276
1406.0,0.6234
1406.0,0.6231
1403.0,0.6186
1400.0,0.6141
1397.0,0.6096
1394.0,0.6052
1394.0,0.6051
1391.0,0.6006
1389.0,0.5961
1386.0,0.5916
1383.0,0.5871
1382.0,0.5852
1380.0,0.5826
1378.0,0.5781
1375.0,0.5736
1373.0,0.5691
1370.0,0.5646
1370.0,0.5645
1367.0,0.56
1365.0,0.5555
1362.0,0.551
1360.0,0.5465
1358.0,0.5439
1357.0,0.542
1354.0,0.5375
1352.0,0.533
1349.0,0.5285
1346.0,0.524
1346.0,0.5232
1344.0,0.5195
1341.0,0.515
1339.0,0.5105
1336.0,0.506
1334.0,0.5025
1333.0,0.5015
1331.0,0.497
1328.0,0.4925
1326.0,0.488
1323.0,0.4835
1322.0,0.4818
1320.0,0.479
1318.0,0.4745
1315.0,0.47
1313.0,0.4655
1310.0,0.4611
1310.0,0.461
1307.0,0.4565
1305.0,0.452
1302.0,0.4475
1300.0,0.443
1298.0,0.4404
1297.0,0.4385
1294.0,0.434
1292.0,0.4295
1289.0,0.425
1286.0,0.4205
1286.0,0.4197
1284.0,0.416
1281.0,0.4115
1279.0,0.407
1276.0,0.4025
1274.0,0.399
1273.0,0.398
1271.0,0.3934
1268.0,0.3889
1265.0,0.3844
1262.0,0.3809
1261.0,0.3799
1256.0,0.3754
1251.0,0.3709
1250.0,0.3704
1245.0,0.3664
1240.0,0.3619
1238.0,0.3607
1234.0,0.3574
1228.0,0.3529
1226.0,0.351
1223.0,0.3484
1218.0,0.3439
1214.0,0.3409
1213.0,0.3394
1208.0,0.3349
1204.0,0.3304
1202.0,0.3282
1200.0,0.3259
1197.0,0.3214
1194.0,0.3169
1191.0,0.3124
1190.0,0.3105
1188.0,0.3079
1186.0,0.3034
1183.0,0.2989
1181.0,0.2944
1178.0,0.2899
1178.0,0.2896
1176.0,0.2854
1173.0,0.2809
1171.0,0.2764
1168.0,0.2719
1166.0,0.2677
1166.0,0.2674
1163.0,0.2629
1161.0,0.2584
1158.0,0.2539
1156.0,0.2494
1154.0,0.2457
1154.0,0.2449
1151.0,0.2404
1149.0,0.2359
1146.0,0.2314
1144.0,0.2269
1142.0,0.2237
1141.0,0.2224
1139.0,0.2178
1136.0,0.2133
1134.0,0.2088
1131.0,0.2043
1130.0,0.2018
1129.0,0.1998
1126.0,0.1953
1124.0,0.1908
1122.0,0.1863
1119.0,0.1818
1118.0,0.1798
1117.0,0.1773
1114.0,0.1728
1112.0,0.1683
1109.0,0.1638
1107.0,0.1593
1106.0,0.1578
1104.0,0.1548
1102.0,0.1503
1099.0,0.1458
1097.0,0.1413
1095.0,0.1368
1094.0,0.1367
1082.0,0.1357
1070.0,0.1351
1058.0,0.1356
1046.0,0.1362
1038.0,0.1368
1034.0,0.1372
1022.0,0.1379
1010.0,0.1393
998.0,0.1402
986.0,0.1409
983.8,0.1413
974.0,0.1431
962.0,0.1448
956.7,0.1458
950.0,0.147
938.0,0.1488
930.1,0.1503
926.0,0.1511
914.0,0.1529
904.0,0.1548
902.0,0.1552
890.0,0.157
878.1,0.1593
878.0,0.1593
866.0,0.1612
854.0,0.1634
852.2,0.1638
842.0,0.1654
830.0,0.1676
826.2,0.1683
818.0,0.1695
806.0,0.1711
806.0,0.9341
818.0,0.9353
830.0,0.9369
842.0,0.9377
854.0,0.9377
866.0,0.9381
869.2,0.9383
878.0,0.9391
890.0,0.9411
902.0,0.9419
914.0,0.9419
926.0,0.9422
934.2,0.9428
938.0,0.9431
950.0,0.9452
962.0,0.946
974.0,0.9461
986.0,0.9463
998.0,0.9471
999.1,0.9473
1010.0,0.9492
1022.0,0.9499
1034.0,0.95
1046.0,0.9498
1058.0,0.9496
1070.0,0.9494
1082.0,0.9491
1094.0,0.949
1106.0,0.9496
1118.0,0.9513
1126.0,0.9518
1130.0,0.952
1142.0,0.952
1149.0,0.9518
1154.0,0.9515
1166.0,0.9506

